,club,club_was_in_last_2_seasons_in_UCL
0,AC Milan,1
1,Ajax Amsterdam,1
2,Atalanta BC,1
3,Atlético de Madrid,1
4,BSC Young Boys,1
5,Bayer 04 Leverkusen,1
6,Bayern Munich,1
7,Besiktas JK,1
8,Borussia Dortmund,1
9,Celtic FC,1
10,Chelsea FC,1
11,Club Brugge KV,1
12,Dynamo Kyiv,1
13,Eintracht Frankfurt,1
14,FC Barcelona,1
15,FC Copenhagen,1
16,FC Porto,1
17,FC Sheriff Tiraspol,1
18,FC Viktoria Plzen,1
19,GNK Dinamo Zagreb,1
20,Inter Milan,1
21,Juventus FC,1
22,LOSC Lille,1
23,Liverpool FC,1
24,Maccabi Haifa,1
25,Malmö FF,1
26,Manchester City,1
27,Manchester United,1
28,Olympique Marseille,1
29,Paris Saint-Germain,1
30,RB Leipzig,1
31,Rangers FC,1
32,Real Madrid,1
33,Red Bull Salzburg,1
34,SL Benfica,1
35,SSC Napoli,1
36,Sevilla FC,1
37,Shakhtar Donetsk,1
38,Sporting CP,1
39,Tottenham Hotspur,1
40,VfL Wolfsburg,1
41,Villarreal CF,1
42,Zenit St. Petersburg,1
